id,consent,priority,physics_score,russian_score,math_score,achievements_score,total_score
430734,True,1,71,74,66,4,215
941416,True,2,79,81,52,4,216
337992,True,1,73,81,64,0,218
766216,False,2,68,82,56,8,214
629756,False,4,77,73,69,6,225
866112,False,1,80,68,81,2,231
140801,True,3,65,82,74,2,223
41296,True,3,75,71,87,7,240
799069,True,2,65,71,88,8,232
940966,True,1,71,66,94,5,236
442163,True,4,80,72,50,6,208
123610,True,1,77,73,78,3,231
170436,True,4,81,80,57,8,226
458304,False,2,69,64,75,6,214
185707,True,1,63,77,75,8,223
353109,False,3,82,70,57,8,217
256584,True,2,65,62,98,5,230
532437,True,4,67,77,78,10,232
18328,True,4,71,63,87,1,222
525320,True,2,72,69,81,9,231
165897,False,3,81,74,67,9,231
348520,True,1,78,63,71,8,220
925888,True,2,76,80,51,8,215
516504,True,2,71,78,63,6,218
920632,False,1,64,64,91,9,228
122353,True,3,81,72,72,4,229
651240,True,4,76,74,54,9,213
950538,False,4,72,71,63,4,210
661089,True,3,75,69,64,0,208
420699,True,3,76,76,51,7,210
671871,False,1,62,69,86,9,226
701096,True,1,73,68,90,8,239
685637,True,1,70,62,94,10,236
675771,False,2,67,78,79,3,227
644608,True,4,74,62,76,0,212
556535,False,4,74,72,64,3,213
689349,True,2,69,66,92,4,231
831108,False,1,68,74,94,5,241
181,False,1,78,75,68,5,226
699546,True,1,67,81,82,1,231
897906,True,1,77,72,73,10,232
425596,True,1,76,63,72,0,211
850531,True,2,64,70,79,8,221
129908,False,1,78,77,45,0,200
19369,True,4,66,67,100,0,233
368437,True,3,63,68,91,9,231
968985,True,3,79,78,51,7,215
645810,True,1,67,69,82,1,219
784679,True,4,71,78,72,5,226
950627,True,1,70,78,81,4,233
382526,False,2,76,73,72,1,222
164783,False,3,77,69,82,3,231
64820,True,2,67,67,91,3,228
857527,False,2,62,74,86,1,223
19183,False,3,74,66,86,1,227
690773,True,2,82,77,70,0,229
586836,True,2,77,73,81,10,241
75528,True,2,70,71,68,9,218
808585,False,1,78,73,59,0,210
407244,True,2,65,78,66,5,214
886596,False,3,65,70,75,0,210
885529,True,1,82,71,68,4,225
374058,False,1,78,73,82,4,237
547937,True,2,80,68,75,7,230
264171,False,2,65,71,72,0,208
676341,False,3,66,72,68,5,211
119693,True,1,79,72,68,8,227
904326,True,1,68,72,83,9,232
835603,False,1,80,64,66,9,219
575497,True,3,72,79,71,8,230
890476,True,1,65,63,100,2,230
267471,False,2,77,74,62,9,222
3813,True,2,63,75,70,7,215
100017,True,2,69,65,79,1,214
309681,True,2,66,63,72,2,203
682002,True,1,79,64,83,7,233
55330,True,1,77,80,62,4,223
863449,False,1,77,80,68,9,234
820983,True,1,73,69,66,2,210
262013,True,3,80,68,60,5,213
274459,False,3,74,77,79,3,233
738318,True,2,68,70,67,7,212
572242,True,3,79,72,66,6,223
318684,True,3,82,79,45,6,212
493286,True,1,73,65,83,9,230
597974,True,1,76,64,82,3,225
980622,False,1,81,73,66,4,224
769770,True,1,62,74,87,10,233
340268,True,2,68,79,86,3,236
814826,True,3,66,74,62,2,204
119801,False,1,70,77,73,4,224
689797,True,2,78,62,69,1,210
447985,True,1,80,69,81,4,234
114796,False,1,65,78,92,8,243
543369,False,1,69,62,94,10,235
436098,True,1,62,68,96,9,235
982110,True,2,74,81,60,2,217
264787,True,1,64,75,65,7,211
253843,False,2,74,66,87,8,235
632216,True,2,70,76,66,6,218
683076,True,1,64,74,75,7,220
709685,False,1,82,73,59,6,220
972091,True,2,79,69,79,8,235
895296,False,3,70,73,88,3,234
188984,True,3,76,81,67,1,225
819562,True,1,70,76,75,6,227
655932,True,2,80,76,50,10,216
620354,True,3,78,82,70,6,236
781670,True,1,78,81,71,7,237
395354,False,2,82,66,66,10,224
94499,True,1,71,70,82,3,226
450990,True,2,77,74,57,6,214
856739,True,1,67,74,97,2,240
178882,True,3,64,78,69,5,216
619672,True,3,67,75,81,10,233
563630,False,1,66,62,78,3,209
821557,True,3,62,74,81,0,217
950798,True,3,76,73,68,1,218
175305,True,3,80,74,49,9,212
715833,True,2,62,70,77,7,216
529937,False,2,75,62,84,9,230
172475,True,2,64,67,76,5,212
300770,True,2,64,64,100,0,228
923598,True,3,77,73,63,3,216
958472,True,3,75,75,57,6,213
137140,False,2,64,75,82,2,223
72088,True,2,70,67,73,6,216
264722,False,3,65,77,95,6,243
876378,False,3,80,67,61,6,214
806569,False,1,65,63,94,9,231
474304,True,1,76,76,80,7,239
606656,True,2,71,70,79,10,230
780343,False,1,77,80,53,8,218
174332,True,1,78,67,86,8,239
