id,consent,priority,physics_score,russian_score,math_score,achievements_score,total_score
555880,False,2,59,65,72,5,201
981308,True,4,58,76,84,5,223
473745,False,1,69,59,69,8,205
975272,True,1,75,69,49,6,199
504420,False,3,67,61,93,7,228
62203,True,1,78,67,72,5,222
514423,True,4,67,70,74,8,219
16092,True,3,67,70,62,4,203
241549,False,2,74,64,75,2,215
656896,True,4,65,63,94,8,230
810967,True,1,72,58,90,2,222
297714,False,3,62,68,82,1,213
870520,True,2,61,58,100,2,221
926886,True,3,61,62,66,8,197
333827,False,3,61,68,94,7,230
76931,False,3,63,73,70,0,206
558373,False,4,69,76,62,0,207
283369,True,4,63,75,74,5,217
652511,True,2,68,73,53,7,201
440444,False,2,61,75,70,7,213
609001,True,4,69,69,79,5,222
196674,False,1,75,75,59,6,215
710141,True,4,69,67,51,7,194
800125,True,3,58,67,91,5,221
915201,True,1,74,76,48,9,207
107310,False,2,58,71,67,4,200
662447,True,2,61,68,87,7,223
611202,True,1,78,62,56,5,201
872528,False,1,73,69,64,7,213
123591,True,4,72,66,54,4,196
306240,True,1,66,72,66,0,204
905682,True,3,73,72,51,8,204
90296,True,2,62,61,70,8,201
727619,True,1,64,63,72,10,209
904927,True,4,67,71,78,6,222
23281,True,3,58,77,70,10,215
772787,True,2,65,68,64,7,204
400937,True,1,58,63,76,9,206
16619,False,1,61,76,61,6,204
409882,True,1,66,65,76,7,214
147617,True,3,73,59,63,0,195
738465,False,3,58,62,83,9,212
718182,False,3,62,59,96,4,221
314161,False,2,71,60,85,0,216
900354,True,1,63,77,64,7,211
854393,False,3,78,61,50,9,198
252594,True,3,64,64,93,5,226
956583,True,3,70,58,71,8,207
707161,True,1,67,73,58,7,205
450067,False,1,74,66,81,2,223
117353,True,3,71,73,70,10,224
16625,False,4,65,70,81,8,224
41158,True,4,68,65,70,6,209
642083,True,2,65,73,49,8,195
672698,False,2,71,66,81,9,227
322279,True,1,72,65,50,4,191
860507,True,1,69,66,71,10,216
362021,True,4,76,77,33,2,188
250145,False,1,77,73,49,7,206
839322,False,3,61,68,65,2,196
790565,False,4,62,75,70,2,209
194735,True,3,66,78,65,2,211
932402,False,4,60,67,87,2,216
293183,True,2,60,64,92,4,220
516154,True,4,71,60,69,10,210
194853,True,2,65,65,75,5,210
330204,True,3,60,75,57,3,195
988301,True,3,58,62,75,5,200
515865,False,1,73,66,69,2,210
203979,False,2,78,69,53,5,205
231187,False,2,64,70,66,9,209
120715,False,2,65,65,79,10,219
722267,True,2,64,63,79,7,213
893054,True,2,64,77,71,5,217
718455,True,4,59,77,79,2,217
780643,True,2,64,62,86,10,222
908759,True,1,61,68,91,6,226
235845,True,4,63,74,61,4,202
355166,False,4,72,68,50,7,197
525326,False,3,62,76,55,9,202
611278,False,1,71,59,65,10,205
769313,True,3,77,77,62,6,222
980499,False,2,74,71,74,0,219
388279,True,4,65,77,76,2,220
203671,False,1,70,69,65,5,209
681236,True,1,76,75,63,10,224
963803,True,1,73,63,80,9,225
420853,True,2,63,65,84,2,214
659565,True,1,74,67,55,3,199
647556,True,1,58,66,93,3,220
734517,False,4,76,60,66,7,209
313710,False,4,59,77,53,7,196
714540,True,4,63,60,73,6,202
201170,False,1,62,73,59,2,196
488775,True,1,69,62,70,5,206
137998,False,3,66,77,66,6,215
313214,True,2,70,70,66,6,212
870619,True,4,64,60,73,8,205
609896,True,3,73,73,67,7,220
69905,True,2,78,69,54,9,210
979100,True,1,76,69,49,3,197
411377,True,4,60,78,71,9,218
462456,False,1,60,72,89,1,222
73786,True,3,61,67,58,0,186
700166,True,4,71,75,52,7,205
101832,True,2,63,70,71,10,214
408258,True,1,58,66,92,9,225
756559,True,3,67,76,59,0,202
251544,True,1,71,66,55,8,200
483026,True,3,78,74,67,2,221
47129,True,3,64,76,68,4,212
1548,False,3,74,60,65,5,204
284049,True,4,72,71,78,10,231
190256,False,1,63,59,100,4,226
469139,True,3,59,64,72,1,196
700541,True,4,67,59,69,10,205
436479,True,2,78,70,51,6,205
65096,True,3,77,62,55,0,194
