id,consent,priority,physics_score,russian_score,math_score,achievements_score,total_score
777811,True,3,91,89,82,0,262
789789,True,1,77,90,100,5,272
68234,True,2,94,80,89,5,268
115206,True,3,77,77,96,9,259
273273,True,1,92,89,72,5,258
160540,True,3,86,76,100,1,263
818575,False,4,92,85,83,9,269
492461,True,3,90,77,100,7,274
505390,True,4,81,93,93,9,276
801024,True,4,96,94,83,9,282
42751,False,1,78,96,83,8,265
222043,True,4,85,78,99,3,265
798631,True,1,85,83,84,1,253
648261,True,3,88,94,76,4,262
723380,False,1,91,76,99,5,271
916891,True,3,91,79,96,2,268
344829,True,4,77,77,99,8,261
916631,False,3,88,90,91,10,279
118458,False,4,83,81,100,8,272
109843,False,3,91,92,79,0,262
952003,True,3,83,83,95,2,263
127793,True,2,76,91,97,3,267
494437,True,4,95,95,79,5,274
511742,False,3,76,83,86,8,253
20510,True,1,95,84,99,9,287
518820,False,4,80,82,92,2,256
877830,True,3,88,91,77,4,260
148179,False,3,79,76,100,2,257
434258,True,4,92,96,67,2,257
490805,True,3,79,87,89,9,264
579623,True,4,84,77,87,10,258
91706,True,1,86,90,95,3,274
989543,True,2,95,87,92,6,280
401152,True,3,93,77,80,7,257
300580,True,2,77,76,100,4,257
676564,True,3,89,81,100,1,271
230770,True,4,83,86,96,8,273
790583,True,4,96,95,75,1,267
230784,True,2,96,87,69,1,253
822967,False,2,94,90,57,9,250
472377,True,1,86,89,89,5,269
623299,False,4,80,91,81,0,252
308600,True,1,84,93,81,7,265
118046,True,2,91,76,88,10,265
474638,True,1,78,89,96,4,267
407300,True,4,85,86,84,10,265
414189,True,2,79,87,83,3,252
356648,True,4,90,80,82,5,257
488472,True,2,90,77,91,7,265
226469,True,4,80,88,92,5,265
550687,True,1,89,95,70,0,254
154803,True,3,87,78,89,0,254
570969,False,3,94,96,74,5,269
750320,False,2,81,95,93,9,278
894700,True,4,96,76,80,9,261
345407,True,3,76,79,100,3,258
383823,False,2,89,76,89,3,257
642754,True,4,78,91,74,7,250
219637,True,1,81,76,100,3,260
371805,True,2,82,87,84,6,259
792302,True,3,84,84,80,4,252
695843,True,1,94,89,67,4,254
661404,False,1,91,79,93,10,273
41139,True,1,89,79,96,3,267
693682,True,3,96,82,97,6,281
739880,False,3,85,86,88,1,260
521136,True,1,91,79,100,6,276
723978,True,2,76,87,91,9,263
316056,True,3,78,81,99,2,260
265216,True,1,86,94,74,6,260
120814,True,4,79,77,100,1,257
701039,False,4,95,78,76,10,259
550630,True,1,94,91,88,8,281
31133,False,4,91,84,97,7,279
426432,True,3,77,92,99,4,272
434381,True,1,85,96,89,8,278
49345,True,2,94,78,94,0,266
475382,True,4,91,88,84,7,270
570727,False,1,88,87,95,2,272
45260,False,4,93,92,69,9,263
611084,True,2,82,89,78,4,253
542101,False,4,85,76,83,9,253
695853,False,2,91,89,72,9,261
50559,True,4,83,89,85,3,260
366896,True,2,94,79,85,1,259
103451,True,4,87,89,90,2,268
858001,True,3,79,90,96,2,267
443461,True,3,82,81,92,3,258
633362,True,3,94,92,86,7,279
970939,True,4,84,91,86,2,263
721177,False,2,78,77,100,8,263
722405,False,1,77,93,85,2,257
885281,True,4,91,94,73,0,258
560023,True,3,77,76,100,5,258
309747,True,2,85,85,90,8,268
191054,False,2,79,89,100,2,270
129520,True,4,87,79,82,5,253
823849,True,3,86,80,100,4,270
417772,True,1,84,78,89,0,251
880263,False,3,82,94,86,5,267
718057,True,3,80,85,100,5,270
314633,True,2,82,79,89,1,251
558636,False,2,91,95,76,2,264
159133,True,4,79,84,100,1,264
9128,True,4,93,96,72,5,266
553986,True,1,80,85,100,6,271
249125,True,2,93,79,83,5,260
503191,True,2,90,79,89,7,265
881655,False,3,79,78,92,5,254
733635,True,3,90,76,100,8,274
720817,True,3,96,83,88,7,274
878627,True,4,90,85,91,0,266
319847,True,3,90,86,79,1,256
71720,True,4,80,90,100,0,270
561458,False,2,88,80,82,8,258
989777,True,4,89,92,73,4,258
473131,False,2,93,94,68,3,258
333351,True,3,87,86,84,4,261
645359,False,1,77,86,100,1,264
467856,False,4,80,93,83,4,260
955654,True,4,93,79,85,9,266
683216,True,3,80,87,98,5,270
984717,False,2,85,94,82,10,271
656259,True,4,76,89,100,4,269
